"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
" "," ","26 Years",26520,27200
" "," ","27 Years",25500,26970
" "," ","28 Years",25050,27100
" "," ","29 Years",24580,26550
" "," ","30 Years",25160,27260
" "," ","31 Years",25420,27610
" "," ","32 Years",26350,28990
" "," ","33 Years",27360,30280
" "," ","34 Years",28570,31520
" "," ","35 Years",29910,33040
" "," ","36 Years",30320,33680
" "," ","37 Years",29860,32750
" "," ","38 Years",30220,33080
" "," ","39 Years",29890,32560
" "," ","40 Years",29750,32380
" "," ","41 Years",30040,32110
" "," ","42 Years",30480,32510
" "," ","43 Years",31630,33610
" "," ","44 Years",31970,34490
" "," ","45 Years",32140,34170
" "," ","46 Years",31420,33480
" "," ","47 Years",30470,31900
" "," ","48 Years",30010,31320
" "," ","49 Years",28490,29840
" "," ","50 Years",28300,29200
" "," ","51 Years",27630,28490
" "," ","52 Years",26450,27430
" "," ","53 Years",25680,26710
" "," ","54 Years",24910,25540
" "," ","55 Years",24590,25110
" "," ","56 Years",24100,24730
" "," ","57 Years",24030,24850
" "," ","58 Years",23710,24050
" "," ","59 Years",23810,24450
" "," ","60 Years",23860,24570
" "," ","61 Years",20030,20750
" "," ","62 Years",19020,19610
" "," ","63 Years",18230,18600
" "," ","64 Years",16110,16750
" "," ","65 Years",17780,18630
" "," ","66 Years",17430,18240
" "," ","67 Years",16080,16740
" "," ","68 Years",14260,15410
" "," ","69 Years",13760,14600
" "," ","70 Years",12920,13990
" "," ","71 Years",12080,13250
" "," ","72 Years",11660,12440
" "," ","73 Years",11030,12150
" "," ","74 Years",10530,12030
" "," ","75 Years",10450,11650
" "," ","76 Years",10380,11810
" "," ","77 Years",9590,11460
" "," ","78 Years",9040,10740
" "," ","79 Years",8550,10390
" "," ","80 Years",7750,9830
" "," ","81 Years",6990,9450
" "," ","82 Years",6400,9110
" "," ","83 Years",5440,8270
" "," ","84 Years",4730,7490
" "," ","85 Years",4140,7130
" "," ","86 Years",3420,6390
" "," ","87 Years",2850,5630
" "," ","88 Years",2020,4210
" "," ","89 Years",1620,3750
" "," ","90 Years",1400,3250
" "," ","91 Years",1130,2720
" "," ","92 Years",810,2240
" "," ","93 Years",600,1660
" "," ","94 Years",460,1370
" "," ","95 Years and Over",880,3090
2008,"As at","0 Years",33050,31360
" "," ","1 Years",31780,30110
" "," ","2 Years",30170,28870
" "," ","3 Years",29550,28090
" "," ","4 Years",29740,28310
" "," ","5 Years",29100,27610
" "," ","6 Years",28760,27860
" "," ","7 Years",30180,28760
" "," ","8 Years",30860,29340
" "," ","9 Years",30090,28390
" "," ","10 Years",30480,29090
" "," ","11 Years",30420,29180
" "," ","12 Years",31450,29510
" "," ","13 Years",31620,30120
" "," ","14 Years",31550,30110
" "," ","15 Years",32100,30870
" "," ","16 Years",32300,31150
" "," ","17 Years",33160,32330
" "," ","18 Years",31770,31740
" "," ","19 Years",31170,30440
" "," ","20 Years",30470,30070
" "," ","21 Years",29450,28760
" "," ","22 Years",28560,28760
" "," ","23 Years",28050,28520
" "," ","24 Years",27860,28250
" "," ","25 Years",27690,28050
" "," ","26 Years",26680,27510
" "," ","27 Years",26180,27250
" "," ","28 Years",25420,27180
" "," ","29 Years",25170,27440
" "," ","30 Years",24780,26940
" "," ","31 Years",25480,27590
" "," ","32 Years",25550,27810
" "," ","33 Years",26460,29200
" "," ","34 Years",27580,30510
" "," ","35 Years",28640,31710
" "," ","36 Years",30070,33230
" "," ","37 Years",30480,33850
" "," ","38 Years",29910,32830
" "," ","39 Years",30260,33200
" "," ","40 Years",29950,32680
" "," ","41 Years",29780,32440
" "," ","42 Years",30040,32160
" "," ","43 Years",30470,32450
" "," ","44 Years",31540,33560
" "," ","45 Years",31920,34370
" "," ","46 Years",32070,34110
