Area,Age group,Sex,Year,Value,Flags
"Total, New Zealand by regional council/area unit","91 years","Male","2001",723,
"Total, New Zealand by regional council/area unit","91 years","Female","1996",1632,
"Total, New Zealand by regional council/area unit","91 years","Female","2001",2145,
"Total, New Zealand by regional council/area unit","92 years","Male","1996",441,
"Total, New Zealand by regional council/area unit","92 years","Male","2001",552,
"Total, New Zealand by regional council/area unit","92 years","Female","1996",1356,
"Total, New Zealand by regional council/area unit","92 years","Female","2001",1737,
"Total, New Zealand by regional council/area unit","93 years","Male","1996",315,
"Total, New Zealand by regional council/area unit","93 years","Male","2001",423,
"Total, New Zealand by regional council/area unit","93 years","Female","1996",990,
"Total, New Zealand by regional council/area unit","93 years","Female","2001",1218,
"Total, New Zealand by regional council/area unit","94 years","Male","1996",237,
"Total, New Zealand by regional council/area unit","94 years","Male","2001",297,
"Total, New Zealand by regional council/area unit","94 years","Female","1996",723,
"Total, New Zealand by regional council/area unit","94 years","Female","2001",993,
"Total, New Zealand by regional council/area unit","95 years","Male","1996",153,
"Total, New Zealand by regional council/area unit","95 years","Male","2001",210,
"Total, New Zealand by regional council/area unit","95 years","Female","1996",600,
"Total, New Zealand by regional council/area unit","95 years","Female","2001",768,
"Total, New Zealand by regional council/area unit","96 years","Male","1996",99,
"Total, New Zealand by regional council/area unit","96 years","Male","2001",141,
"Total, New Zealand by regional council/area unit","96 years","Female","1996",354,
"Total, New Zealand by regional council/area unit","96 years","Female","2001",561,
"Total, New Zealand by regional council/area unit","97 years","Male","1996",72,
"Total, New Zealand by regional council/area unit","97 years","Male","2001",93,
"Total, New Zealand by regional council/area unit","97 years","Female","1996",261,
"Total, New Zealand by regional council/area unit","97 years","Female","2001",408,
"Total, New Zealand by regional council/area unit","98 years","Male","1996",45,
"Total, New Zealand by regional council/area unit","98 years","Male","2001",69,
"Total, New Zealand by regional council/area unit","98 years","Female","1996",198,
"Total, New Zealand by regional council/area unit","98 years","Female","2001",252,
"Total, New Zealand by regional council/area unit","99 years","Male","1996",24,
"Total, New Zealand by regional council/area unit","99 years","Male","2001",51,
"Total, New Zealand by regional council/area unit","99 years","Female","1996",141,
"Total, New Zealand by regional council/area unit","99 years","Female","2001",198,
"Total, New Zealand by regional council/area unit","100 years and over","Male","2006",123,
"Total, New Zealand by regional council/area unit","100 years and over","Female","2006",411,
"Total, New Zealand by regional council/area unit","Less than one year","Male","2006",28764,
"Total, New Zealand by regional council/area unit","Less than one year","Female","2006",27864,
"Total, New Zealand by regional council/area unit","One year","Male","2006",28005,
"Total, New Zealand by regional council/area unit","One year","Female","2006",26673,
"Total, New Zealand by regional council/area unit","Two years","Male","2006",27978,
"Total, New Zealand by regional council/area unit","Two years","Female","2006",26838,
"Total, New Zealand by regional council/area unit","Three years","Male","2006",27627,
"Total, New Zealand by regional council/area unit","Three years","Female","2006",26415,
"Total, New Zealand by regional council/area unit","Four years","Male","2006",28005,
"Total, New Zealand by regional council/area unit","Four years","Female","2006",26904,
"Total, New Zealand by regional council/area unit","Five years","Male","2006",29367,
"Total, New Zealand by regional council/area unit","Five years","Female","2006",28107,
"Total, New Zealand by regional council/area unit","Six years","Male","2006",29496,
"Total, New Zealand by regional council/area unit","Six years","Female","2006",28266,
"Total, New Zealand by regional council/area unit","Seven years","Male","2006",28833,
"Total, New Zealand by regional council/area unit","Seven years","Female","2006",27405,
"Total, New Zealand by regional council/area unit","Eight years","Male","2006",29304,
"Total, New Zealand by regional council/area unit","Eight years","Female","2006",28050,
"Total, New Zealand by regional council/area unit","Nine years","Male","2006",29532,
"Total, New Zealand by regional council/area unit","Nine years","Female","2006",28131,
"Total, New Zealand by regional council/area unit","10 years","Male","2006",30750,
"Total, New Zealand by regional council/area unit","10 years","Female","2006",29151,
"Total, New Zealand by regional council/area unit","11 years","Male","2006",30825,
"Total, New Zealand by regional council/area unit","11 years","Female","2006",29349,
"Total, New Zealand by regional council/area unit","12 years","Male","2006",31383,
"Total, New Zealand by regional council/area unit","12 years","Female","2006",29622,
"Total, New Zealand by regional council/area unit","13 years","Male","2006",31686,
"Total, New Zealand by regional council/area unit","13 years","Female","2006",30123,
